bore_id,reg_id,state_id,lat,lon,my_depth_m,count,mean,std,min,25%,50%,75%,max,cv
41597,41597A,3,-24.8462007,152.4103462,61.4,13.0,168.84615384615384,146.24741943811418,5.0,98.0,165.0,186.0,600.0,0.8661578372188995
41740,41740A,3,-24.8043771,152.3990496,20.75,19.0,508.4736842105263,161.21047953979385,200.0,424.0,550.0,590.0,875.0,0.31704783265252906
41839,41839A,3,-24.8177755,152.3703039,6.7,14.0,876.4285714285714,626.5116751672542,115.0,401.5,680.0,1080.0,2350.0,0.7148462471346014
41855,41855A,3,-24.7855053,152.2749661,22.1,24.0,55.833333333333336,8.54993855389396,44.0,53.0,54.0,56.25,92.0,0.15313322783093658
41884,41884A,3,-24.800407,152.2799914,19.2,26.0,46.19230769230769,5.614404550933114,40.0,43.25,44.5,48.0,66.0,0.12154414514925975
41970,41970A,3,-24.8935718,152.3593324,27.6,17.0,64.88235294117646,53.88167864977526,35.0,44.0,49.0,59.0,251.0,0.8304519828161192
41972,41972A,3,-24.8889669,152.3579094,33.55,24.0,45.66666666666666,4.869306411341992,40.0,41.75,45.5,48.0,58.0,0.10662714769362029
41973,41973A,3,-24.8813296,152.374068,26.4,30.0,55.86666666666667,2.5014938065819425,50.0,55.0,56.0,56.0,64.0,0.04477614212258847
41975,41975A,3,-24.8676568,152.3647807,16.2,21.0,83.85714285714286,9.446087625497205,65.0,80.0,82.0,88.0,105.0,0.11264499723761572
41976,41976A,3,-24.8642719,152.3667614,18.3,21.0,226.04761904761904,101.87515702587956,41.0,150.0,236.0,295.0,380.0,0.45068007110669284
42223,42223A,3,-24.7736552,152.2618841,19.35,17.0,77.17647058823529,72.37164093596817,35.0,39.0,51.0,65.0,320.0,0.9377422987130023
42291,42291A,3,-24.8599315,152.3213683,14.0,21.0,91.61904761904762,23.646302439231786,24.0,82.0,91.0,100.0,138.0,0.2580937376423428
42526,42526A,3,-24.8529498,152.3352856,42.67,16.0,87.25,23.11853513237088,66.0,73.75,80.0,85.25,145.0,0.2649688840386347
42596,42596A,3,-24.8739858,152.3391403,19.9,11.0,133.63636363636363,52.423797510811305,82.0,99.5,130.0,143.0,275.0,0.3922869201489282
42701,42701A,3,-24.8743932,152.3373062,16.7,24.0,252.54166666666663,56.172079685835776,100.0,256.75,274.5,280.0,305.0,0.22242697780235254
42751,42751A,3,-24.7996878,152.4333468,24.0,13.0,674.0769230769231,270.51693155218635,74.0,660.0,715.0,890.0,930.0,0.4013146308545501
42928,42928A,3,-24.9198676,152.418763,26.95,15.0,157.26666666666668,95.06649302061211,68.0,74.0,105.0,235.0,315.0,0.6044923252688349
42982,42982A,3,-24.7191254,152.2701823,6.4,15.0,129.26666666666668,24.78901446397654,74.0,120.0,125.0,132.5,175.0,0.19176648631235071
43359,43359A,3,-23.9294444,150.1955556,14.8,25.0,1332.88,245.9019655608037,560.0,1350.0,1400.0,1400.0,1663.0,0.18448920049877232
43469,43469A,3,-27.5363878,153.4149964,60.0,15.0,17.666666666666668,2.0930724738891344,13.0,17.0,18.0,18.5,22.0,0.11847580040881892
43589,43589A,3,-23.8841667,150.2116667,16.25,21.0,807.7142857142857,122.5235254378288,464.0,780.0,820.0,890.0,960.0,0.15169166573484288
43759,43759A,3,-23.9156497,150.2198477,12.2,11.0,1155.6363636363635,133.6766791383394,1000.0,1050.0,1100.0,1275.0,1350.0,0.11567365249541643
43849,43849A,3,-24.4917495,150.5644112,18.3,19.0,120.05263157894736,17.283497859102887,94.0,105.0,120.0,132.5,153.0,0.1439660058408395
43919,43919A,3,-24.1379357,150.3112831,15.65,30.0,211.96666666666667,101.01160170079928,68.0,145.0,199.0,249.25,524.0,0.4765447477628524
